,name,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,VID_20191018_081835,0.9292929999999999,0.945801,0.9398179999999999,0.885416,0.8303309999999999,0.875466,0.8732169999999999,0.869601,0.9676389999999999,0.9026200000000001,0.8780549999999999,0.9486089999999999,0.948588,0.862628,0.9197029999999999,0.905577,0.9347219999999999,0.775285,0.8334349999999999,0.741352,0.7743709999999999,0.681012,0.872097,0.8446279999999999,0.84713
1,VID_20191021_212345,0.916586,0.9129339999999999,0.903662,0.840899,0.88573,0.917715,0.8101069999999999,0.8462700000000001,0.9059149999999999,0.882269,0.879166,0.972476,0.901179,0.840229,0.8599749999999999,0.84184,0.95798,0.564839,0.8463100000000001,0.781397,0.8364079999999999,0.7406229999999999,0.782115,0.7930149999999999,0.855521
9,GOPR1201_1543567609295_high,0.9574469999999999,0.9734259999999999,0.976665,0.867231,0.848703,0.911839,0.901987,0.9201849999999999,0.8936600000000001,0.932105,0.908767,0.876919,0.899323,0.9457209999999999,0.920547,0.74692,0.9565089999999999,0.0,0.9104909999999999,0.923738,0.936116,0.8391989999999999,0.802758,0.8403269999999999,0.7684200000000001
17,VID_20191021_220315,0.926333,0.966939,0.861776,0.7725000000000001,0.6827369999999999,0.923809,0.8627809999999999,0.71423,0.873057,0.8624259999999999,0.8565200000000001,0.853136,0.908509,0.936085,0.89734,0.945793,0.912824,0.9205319999999999,0.50656,0.7591439999999999,0.773189,0.7951349999999999,0.8442500000000001,0.819885,0.794311
19,VID_20191021_214728,0.951665,0.931489,0.934669,0.928346,0.882664,0.922045,0.8384269999999999,0.8956409999999999,0.9016919999999999,0.877474,0.9149149999999999,0.8504689999999999,0.931426,0.9415659999999999,0.845652,0.6529579999999999,0.963258,0.0,0.935163,0.800658,0.8019839999999999,0.807735,0.786957,0.739825,0.818452
21,VID_20191116_192205,0.974026,0.926948,0.9283859999999999,0.873315,0.902586,0.8442069999999999,0.890509,0.7540049999999999,0.9482800000000001,0.946807,0.9237369999999999,0.8543959999999999,0.9100239999999999,0.938622,0.911469,0.971761,0.962811,0.884114,0.8780249999999999,0.78115,0.7875249999999999,0.744441,0.7931509999999999,0.826229,0.802149
25,VID_20191021_212532,0.905983,0.930184,0.906424,0.8617300000000001,0.859374,0.924634,0.8214739999999999,0.8783829999999999,0.8875600000000001,0.8700700000000001,0.926404,0.8853989999999999,0.90995,0.8690289999999999,0.842105,0.863082,0.9370689999999999,0.785086,0.825564,0.6654329999999999,0.5980679999999999,0.750516,0.822091,0.773312,0.8639789999999999
26,VID_20191021_220354,0.912912,0.901507,0.9413509999999999,0.746718,0.7379479999999999,0.9203049999999999,0.799195,0.755016,0.894774,0.867026,0.897191,0.7952819999999999,0.847367,0.827869,0.804288,0.944577,0.9612419999999999,0.73714,0.7898000000000001,0.7699229999999999,0.781793,0.714213,0.745034,0.738709,0.7375539999999999
30,VID_20180119_082614898,0.9047100000000001,0.988074,0.9889669999999999,0.8695700000000001,0.937719,0.9230339999999999,0.8659589999999999,0.85006,0.9460609999999999,0.872118,0.9377019999999999,0.931438,0.844873,0.920867,0.936129,0.9139800000000001,0.140092,0.9763449999999999,0.20971499999999998,0.695526,0.7017639999999999,0.871759,0.7154619999999999,0.801176,0.8524189999999999
32,VID_20191021_212458,0.896744,0.9766119999999999,0.981159,0.9015949999999999,0.7740900000000001,0.913242,0.8678049999999999,0.76973,0.9114789999999999,0.8790709999999999,0.9757300000000001,0.850976,0.892257,0.959737,0.9475669999999999,0.717909,0.868448,0.0,0.925643,0.8377589999999999,0.8454229999999999,0.7275079999999999,0.7052069999999999,0.7021419999999999,0.785415
