,name,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,VID_20191018_081835_80,0.888412,0.932936,0.813607,0.739954,0.45911399999999997,0.8850349999999999,0.8472729999999999,0.7940539999999999,0.926296,0.9077459999999999,0.7533679999999999,0.8620559999999999,0.911453,0.896516,0.8552759999999999,0.9392039999999999,0.841007,0.884166,0.375893,0.744208,0.761203,0.764945,0.743943,0.788952,0.7491359999999999
1,VID_20191021_212345_40,0.9213859999999999,0.94774,0.8717309999999999,0.767405,0.674659,0.865441,0.8651869999999999,0.699344,0.886305,0.902017,0.862394,0.9023800000000001,0.922526,0.9210309999999999,0.8872519999999999,0.8861,0.869927,0.60916,0.569894,0.692986,0.715289,0.733301,0.8226749999999999,0.856721,0.8170919999999999
2,VID_20191021_212345_41,0.9375700000000001,0.923862,0.8607539999999999,0.7170489999999999,0.404435,0.860047,0.826749,0.535617,0.885763,0.9050119999999999,0.9157219999999999,0.9562309999999999,0.913335,0.912472,0.8847189999999999,0.887388,0.8915069999999999,0.60528,0.587934,0.696217,0.7238749999999999,0.693394,0.8353600000000001,0.855204,0.849853
3,MVI_1209_36,0.9523469999999999,0.9198449999999999,0.898656,0.8953000000000001,0.932418,0.8806379999999999,0.827214,0.804971,0.8701749999999999,0.826136,0.901349,0.817182,0.839671,0.815533,0.8360989999999999,0.937921,0.86353,0.9237409999999999,0.0,0.6629459999999999,0.7170500000000001,0.703336,0.732031,0.8188789999999999,0.626409
4,MVI_1209_37,0.9651059999999999,0.928763,0.887118,0.863525,0.8237049999999999,0.8834029999999999,0.6962309999999999,0.796499,0.887639,0.818931,0.842864,0.8677239999999999,0.899153,0.829114,0.812087,0.919248,0.859865,0.818942,0.792393,0.8421409999999999,0.77568,0.790917,0.737136,0.7426100000000001,0.792133
5,MVI_1209_38,0.925496,0.908053,0.830154,0.804376,0.773524,0.901006,0.830866,0.7633019999999999,0.882571,0.8763449999999999,0.8071929999999999,0.8031659999999999,0.850142,0.8548979999999999,0.8078869999999999,0.895998,0.865651,0.627707,0.914781,0.755652,0.6970689999999999,0.7994209999999999,0.65744,0.60221,0.39996899999999996
9,GOPR1201_1543567609295_high_54,0.846795,0.7841159999999999,0.854336,0.7697609999999999,0.619342,0.775762,0.6187079999999999,0.614078,0.841702,0.8842939999999999,0.903354,0.8803989999999999,0.7737259999999999,0.911886,0.9410449999999999,0.963765,0.774566,0.9100229999999999,0.0,0.813325,0.750834,0.789048,0.747069,0.7799769999999999,0.8676600000000001
10,GOPR1201_1543567609295_high_55,0.928754,0.825197,0.9478249999999999,0.9023519999999999,0.827201,0.738325,0.358651,0.30655299999999996,0.8898579999999999,0.859991,0.8777189999999999,0.905025,0.837383,0.8798009999999999,0.8848769999999999,0.905083,0.858134,0.88665,0.0,0.802163,0.7792359999999999,0.7674559999999999,0.831859,0.7841,0.837321
11,GOPR1201_1543567609295_high_56,0.9689979999999999,0.898324,0.9201429999999999,0.801804,0.907974,0.834235,0.581374,0.7552479999999999,0.92349,0.872443,0.8354619999999999,0.938064,0.8968419999999999,0.815565,0.862814,0.8645069999999999,0.9138529999999999,0.920665,0.106914,0.769123,0.813479,0.8174739999999999,0.8814329999999999,0.828303,0.857661
17,VID_20191021_220315_140,0.8097489999999999,0.966939,0.851339,0.772312,0.6827369999999999,0.889222,0.8178949999999999,0.686114,0.865223,0.828778,0.8089759999999999,0.824934,0.820696,0.8678239999999999,0.850283,0.845769,0.777326,0.9205319999999999,0.24845899999999999,0.7049259999999999,0.74543,0.7951349999999999,0.8442500000000001,0.819885,0.794311
18,VID_20191021_220315_141,0.848386,0.928866,0.8330609999999999,0.7725000000000001,0.636909,0.912797,0.8627809999999999,0.6978789999999999,0.873057,0.828083,0.832571,0.8478509999999999,0.907222,0.936085,0.865628,0.887042,0.781785,0.9029200000000001,0.251922,0.6964739999999999,0.733806,0.760882,0.791495,0.757463,0.782596
19,VID_20191021_214728_52,0.8967419999999999,0.8343809999999999,0.788492,0.638629,0.7403109999999999,0.8586349999999999,0.795013,0.889493,0.8913249999999999,0.866211,0.892211,0.811398,0.914717,0.927719,0.824622,0.8456739999999999,0.9291649999999999,0.10037299999999999,0.890392,0.7794749999999999,0.769471,0.7115309999999999,0.489444,0.45974000000000004,0.492729
20,VID_20191021_214728_53,0.932249,0.8311379999999999,0.9077419999999999,0.793468,0.8856400000000001,0.908976,0.8014469999999999,0.929213,0.8742179999999999,0.8564039999999999,0.871385,0.820338,0.921904,0.9307989999999999,0.7975639999999999,0.823877,0.9026400000000001,0.10910199999999999,0.877918,0.83074,0.8317479999999999,0.7245539999999999,0.48921699999999996,0.46440000000000003,0.527542
21,VID_20191116_192205_44,0.943523,0.8794179999999999,0.882647,0.844993,0.9321379999999999,0.8879079999999999,0.7769539999999999,0.8701629999999999,0.960893,0.874521,0.971923,0.876791,0.9087679999999999,0.986737,0.9355549999999999,0.8618159999999999,0.967901,0.0777422,0.898694,0.836576,0.846613,0.798755,0.790109,0.7831589999999999,0.8825369999999999
22,VID_20191116_192205_45,0.915553,0.908061,0.896729,0.7980039999999999,0.889834,0.8891800000000001,0.781794,0.8433609999999999,0.9400959999999999,0.856764,0.9587939999999999,0.8891239999999999,0.8864900000000001,0.97216,0.904501,0.756189,0.9530029999999999,0.0,0.8630439999999999,0.765718,0.794864,0.7727339999999999,0.7950269999999999,0.788091,0.8896219999999999
23,VID_20191116_192205_46,0.9471800000000001,0.909696,0.910754,0.7772,0.866101,0.908619,0.774856,0.741193,0.9193429999999999,0.82911,0.9446439999999999,0.9249109999999999,0.867837,0.959827,0.875775,0.7690239999999999,0.9795389999999999,0.0,0.8883749999999999,0.756995,0.7841849999999999,0.7633000000000001,0.799084,0.806635,0.906098
25,VID_20191021_212532_25,0.853625,0.886307,0.900457,0.890813,0.824158,0.8794109999999999,0.831444,0.8389559999999999,0.9062129999999999,0.8778189999999999,0.8473700000000001,0.905779,0.912777,0.818515,0.792897,0.807732,0.8756929999999999,0.556479,0.779932,0.626832,0.5815819999999999,0.7161759999999999,0.7934439999999999,0.8130900000000001,0.856323
26,VID_20191021_220354_57,0.908578,0.901507,0.9007900000000001,0.6530239999999999,0.720077,0.841745,0.799195,0.755016,0.818125,0.865489,0.846351,0.704418,0.847367,0.827869,0.804288,0.914453,0.893416,0.66039,0.7164539999999999,0.7699229999999999,0.781793,0.714213,0.513863,0.54776,0.605885
27,VID_20191021_220354_58,0.912912,0.884465,0.9331809999999999,0.7219749999999999,0.7379479999999999,0.913864,0.682921,0.452721,0.854887,0.812144,0.897191,0.782866,0.8470200000000001,0.805874,0.7832549999999999,0.944577,0.9612419999999999,0.665914,0.7898000000000001,0.619476,0.636115,0.670449,0.7411019999999999,0.73311,0.7184349999999999
28,VID_20191021_220354_59,0.892693,0.896941,0.9413509999999999,0.746718,0.707382,0.9203049999999999,0.688137,0.337833,0.894774,0.867026,0.895517,0.7952819999999999,0.8455100000000001,0.784697,0.7752209999999999,0.9377639999999999,0.940036,0.73714,0.713965,0.578556,0.5833889999999999,0.623939,0.745034,0.738709,0.7375539999999999
30,VID_20180119_082614898_10,0.902859,0.9689000000000001,0.8796889999999999,0.882662,0.803507,0.897624,0.872926,0.848942,0.8880469999999999,0.914288,0.876814,0.830554,0.944305,0.784181,0.8708619999999999,0.9237639999999999,0.808882,0.8737929999999999,0.275319,0.576535,0.5897859999999999,0.763757,0.699175,0.6859919999999999,0.7156469999999999
31,VID_20180119_082614898_11,0.903818,0.906415,0.9167259999999999,0.885736,0.785376,0.9473379999999999,0.885474,0.800692,0.942417,0.930774,0.812099,0.832468,0.8874949999999999,0.848846,0.826438,0.884328,0.851945,0.856935,0.299747,0.549906,0.524558,0.7756200000000001,0.747466,0.7367049999999999,0.761319
32,VID_20180119_082614898_12,0.847092,0.963426,0.847864,0.8484100000000001,0.8226800000000001,0.9103200000000001,0.790248,0.798667,0.890516,0.872875,0.8663639999999999,0.8208200000000001,0.947908,0.7771469999999999,0.860632,0.9015500000000001,0.76604,0.867842,0.20543000000000003,0.557922,0.554832,0.762057,0.731807,0.6937479999999999,0.7168249999999999
34,VID_20191018_081933_152,0.810956,0.8630629999999999,0.893374,0.831252,0.7980729999999999,0.851676,0.8474889999999999,0.757196,0.897381,0.937376,0.9264519999999999,0.835023,0.880647,0.8804449999999999,0.843231,0.8215500000000001,0.8553449999999999,0.6938059999999999,0.7270639999999999,0.445395,0.42643000000000003,0.610179,0.641123,0.656412,0.754734
35,VID_20191018_081933_153,0.8343619999999999,0.881106,0.8400409999999999,0.911227,0.7937329999999999,0.9087029999999999,0.8750049999999999,0.8160029999999999,0.944869,0.9081359999999999,0.898593,0.846614,0.873595,0.8668509999999999,0.838957,0.8603179999999999,0.827255,0.745873,0.69742,0.514867,0.49548000000000003,0.6090249999999999,0.631745,0.682933,0.728078
36,VID_20191018_081933_154,0.9206979999999999,0.954986,0.9243039999999999,0.7813049999999999,0.8012349999999999,0.939117,0.8437279999999999,0.886021,0.91961,0.846707,0.889633,0.8501879999999999,0.831569,0.8445889999999999,0.828361,0.876825,0.9021889999999999,0.649265,0.7797609999999999,0.49789599999999995,0.475383,0.582395,0.7197279999999999,0.7338509999999999,0.694523
39,VID_20191021_220427_95,0.847464,0.918349,0.910264,0.820985,0.725069,0.9338879999999999,0.788446,0.688936,0.8498500000000001,0.917696,0.905932,0.881783,0.9052479999999999,0.8277749999999999,0.872309,0.852491,0.8418819999999999,0.7812739999999999,0.33261,0.7641300000000001,0.781426,0.7079829999999999,0.918055,0.8991169999999999,0.819247
40,VID_20181214_080650_182,0.9132669999999999,0.8730629999999999,0.8220409999999999,0.764795,0.6624289999999999,0.8412339999999999,0.280924,0.292763,0.9462269999999999,0.883382,0.986753,0.9043629999999999,0.900949,0.923126,0.868583,0.886605,0.865833,0.47678000000000004,0.7792939999999999,0.819603,0.895389,0.8327509999999999,0.733055,0.752971,0.8277709999999999
41,VID_20181214_080650_183,0.9097259999999999,0.932769,0.8766349999999999,0.784855,0.6596449999999999,0.837781,0.0,0.0,0.976981,0.8684649999999999,0.9249100000000001,0.970343,0.907821,0.8803500000000001,0.817579,0.888991,0.954978,0.342207,0.780886,0.810083,0.8836579999999999,0.765857,0.761443,0.8045709999999999,0.8912249999999999
42,VID_20181214_080650_184,0.906049,0.9000900000000001,0.8590289999999999,0.787454,0.666407,0.862648,0.578859,0.306703,0.900679,0.8995839999999999,0.847395,0.859864,0.908045,0.889577,0.9149400000000001,0.9210389999999999,0.871315,0.63807,0.7457239999999999,0.7356119999999999,0.748663,0.8225319999999999,0.755761,0.746073,0.888489
43,VID_20190322_083209_144,0.879409,0.8723449999999999,0.863969,0.387472,0.165712,0.872443,0.8665649999999999,0.872114,0.8868469999999999,0.826166,0.9329000000000001,0.896894,0.8722709999999999,0.862251,0.9078419999999999,0.827769,0.887409,0.721942,0.6809649999999999,0.704054,0.7090529999999999,0.702546,0.834714,0.837299,0.7191200000000001
